"Package","Version"
"marginaleffects","0.31.0"
"markdown","1.13"
"matrixcalc","1.0-6"
"MatrixModels","0.5-3"
"matrixStats","1.4.1"
"maxLik","1.5-2.1"
"mboost","2.9-11"
"mcmc","0.9-8"
"MCMCpack","1.7-1"
"mediation","4.5.0"
"memoise","2.0.1"
"mgm","1.2-14"
"mi","1.1"
"mice","3.16.0"
"microbenchmark","1.5.0"
"mime","0.12"
"miniUI","0.1.1.1"
"minqa","1.2.7"
"misc3d","0.9-1"
"miscTools","0.6-28"
"missForest","1.6.1"
"mitml","0.4-5"
"mitools","2.4"
"mlbench","2.1-5"
"mlVAR","0.5.2"
"mnormt","2.1.1"
"modelbased","0.8.8"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modeltools","0.2-23"
"moments","0.14.1"
"MplusAutomation","1.1.1"
"msm","1.8"
"multcomp","1.4-26"
"MuMIn","1.48.4"
"munsell","0.5.1"
"mvnfast","0.2.8"
"mvtnorm","1.3-1"
"network","1.18.2"
"NetworkToolbox","1.4.2"
"networktools","1.5.2"
"nleqslv","3.3.5"
"nloptr","2.1.0"
"nnls","1.5"
"nonnest2","0.5-8"
"numDeriv","2016.8-1.1"
"officer","0.7.3"
"OpenMx","2.21.12"
"openssl","2.2.2"
"openxlsx","4.2.7.1"
"optimx","2023-10.21"
"ordinal","2023.12-4.1"
"pacman","0.5.1"
"pagedown","0.20"
"pan","1.9"
"pander","0.6.5"
"parallelly","1.38.0"
"parameters","0.22.2"
"party","1.3-17"
"partykit","1.2-22"
"patchwork","1.3.0"
"pbapply","1.7-2"
"pbivnorm","0.6.0"
"pbkrtest","0.5.3"
"pbv","0.5-47"
"pcalg","2.7-12"
"pdftools","3.4.1"
"performance","0.12.3"
"piecewiseSEM","2.3.0.1"
"pillar","1.9.0"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plm","2.6-4"
"plot3D","1.4.1"
"plotly","4.10.4"
"plotrix","3.8-4"
"plspm","0.5.1"
"plyr","1.8.9"
"png","0.1-8"
"poLCA","1.6.0.1"
"polyclip","1.10-7"
"polycor","0.8-1"
"polynom","1.4-1"
"posterior","1.6.0"
"ppcor","1.1"
"pracma","2.4.4"
"praise","1.0.0"
"prettyunits","1.2.0"
"pROC","1.18.5"
"processx","3.8.4"
"prodlim","2024.06.25"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.14.0"
"promises","1.3.0"
"proto","1.0.0"
"proxy","0.4-27"
"pryr","0.1.6"
"ps","1.8.0"
"psych","2.4.6.26"
"psychonetrics","0.13"
"psychTools","2.4.3"
"purrr","1.0.2"
"pwr","1.3-0"
"qgraph","1.9.8"
"qpdf","1.3.3"
"QRM","0.4-31"
"qs","0.27.3"
"quadprog","1.5-8"
"quantmod","0.4.26"
"quantreg","5.98"
"QuickJSR","1.3.1"
"R.cache","0.17.0"
"R.matlab","3.7.0"
"R.methodsS3","1.8.2"
"R.oo","1.26.0"
"R.utils","2.12.3"
"R6","2.5.1"
"ragg","1.3.3"
"randomForest","4.7-1.2"
"ranger","0.16.0"
"RApiSerialize","0.1.4"
"rappdirs","0.3.3"
"raster","3.6-26"
"rbibutils","2.2.16"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.12"
"RcppArmadillo","14.0.2-1"
"RcppDist","0.1.1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","5.1.9"
"RcppProgress","0.4.2"
"Rdpack","2.6.1"
"reactable","0.4.4"
"reactR","0.6.1"
"readr","2.1.5"
"readxl","1.4.3"
"recipes","1.1.0"
"relaimpo","2.2-7"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.5"
"report","0.5.9"
"repr","1.1.7"
"reprex","2.1.1"
"reshape","0.8.9"
"reshape2","1.4.4"
"rex","1.2.1"
"rgl","1.3.1"
"Rglpk","0.6-5.1"
"Rgraphviz","2.48.0"
"rio","1.2.2"
"rJava","1.0-11"
"rlang","1.1.4"
"rle","0.9.2"
"rmarkdown","2.28"
"rnaturalearth","1.1.0"
"rnaturalearthdata","1.0.0"
"rngtools","1.5.2"
"robustbase","0.99-4"
"rockchalk","1.8.157"
"roptim","0.1.6"
"roxygen2","7.3.2"
"rpart.plot","3.1.2"
"rpf","1.0.14"
"rprojroot","2.0.4"
"rstan","2.32.6"
"rstantools","2.4.0"
"rstatix","0.7.2"
"rstudioapi","0.16.0"
"rsvg","2.7.0"
"rtf","0.4-14.1"
"Rttf2pt1","1.3.12"
"RUnit","0.4.33"
"rversions","2.1.2"
"rvest","1.0.4"
"s2","1.1.7"
"S7","0.2.1"
"sandwich","3.1-1"
"sass","0.4.9"
"scales","1.4.0"
"scatterplot3d","0.3-44"
"see","0.9.0"
"selectr","0.4-2"
"sem","3.1-16"
"semPlot","1.1.6"
"semTools","0.5-6"
"servr","0.31"
"sessioninfo","1.2.2"
"sf","1.0-16"
"sfsmisc","1.1-20"
"shape","1.4.6.1"
"shiny","1.9.1"
"showtext","0.9-7"
"showtextdb","3.0"
"skimr","2.1.5"
"slam","0.1-53"
"smacof","2.1-6"
"sna","2.8"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"SparseM","1.84-2"
"spData","2.3.4"
"spdep","1.4-1"
"SQUAREM","2021.1"
"stabs","0.6-4"
"StanHeaders","2.32.10"
"statnet.common","4.9.0"
"stringfish","0.16.0"
"stringi","1.8.4"
"stringr","1.5.1"
"strucchange","1.5-4"
"styler","1.11.0"
"survey","4.4-2"
"svglite","2.1.3"
"sys","3.4.2"
"sysfonts","0.8.9"
"systemfonts","1.3.2"
"tensorA","0.36.2.1"
"terra","1.8-93"
"tester","0.2.0"
"testthat","3.2.1.1"
"texreg","1.39.4"
"textshaping","0.4.0"
"TH.data","1.1-2"
"tibble","3.2.1"
"tidygraph","1.3.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"timeSeries","4041.111"
"tinytex","0.53"
"tmvnsim","1.0-2"
"triebeard","0.4.1"
"trust","0.1-8"
"TTR","0.24.4"
"turner","0.1.9"
"tweenr","2.0.3"
"tzdb","0.4.0"
"ucminf","1.2.2"
"units","0.8-5"
"urlchecker","1.0.1"
"urltools","1.7.3"
"usethis","3.0.0"
"utf8","1.2.4"
"uuid","1.2-1"
"V8","5.0.1"
"VCA","1.5.1"
"vcd","1.4-13"
"vctrs","0.6.5"
"VIM","6.2.2"
"viridis","0.6.5"
"viridisLite","0.4.2"
"visNetwork","2.1.2"
"vroom","1.6.5"
"waldo","0.5.3"
"websocket","1.4.2"
"weights","1.0.4"
"whisker","0.4.1"
"withr","3.0.1"
"wk","0.9.3"
"wordcloud","2.6"
"writexl","1.5.0"
"xaringan","0.30"
"xaringanExtra","0.8.0"
"xaringanthemer","0.4.3"
"xfun","0.45"
"xlsx","0.6.5"
"xlsxjars","0.6.1"
"XML","3.99-0.17"
"xml2","1.3.6"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.0"
"yaml","2.3.8"
"zip","2.3.1"
"zoo","1.8-12"
"base","4.4.3"
"boot","1.3-31"
"class","7.3-23"
"cluster","2.1.8"
"codetools","0.2-20"
"compiler","4.4.3"
"datasets","4.4.3"
"foreign","0.8-88"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"KernSmooth","2.23-26"
"lattice","0.22-6"
"MASS","7.3-64"
"Matrix","1.7-2"
"methods","4.4.3"
"mgcv","1.9-1"
"nlme","3.1-167"
"nnet","7.3-20"
"parallel","4.4.3"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.4.3"
"stats","4.4.3"
"stats4","4.4.3"
"survival","3.8-3"
"tcltk","4.4.3"
"tools","4.4.3"
"translations","4.4.3"
"utils","4.4.3"
